ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
640,36,0.39,Poor,0.75,101,3
641,52,0.98,Poor,0.93,143,1
642,52,0.96,Poor,0.95,622,1
643,19,0.09,Medium,0.5,499,4
644,19,0.09,Medium,0.55,198,4
645,16,0.06,Good,0.47,363,5
646,19,0.08,Medium,0.53,409,4
647,16,0.05,Good,0.47,511,5
648,17,0.07,Good,0.51,446,5
649,51,0.9,Poor,0.96,279,1
650,48,0.8,Poor,0.96,372,2
651,17,0.07,Good,0.48,375,5
652,34,0.34,Poor,0.75,514,3
653,26,0.18,Medium,0.66,177,4
654,27,0.2,Medium,0.64,374,4
655,49,0.83,Poor,0.96,127,2
656,16,0.06,Good,0.48,551,5
657,30,0.25,Poor,0.67,102,3
658,22,0.12,Medium,0.6,599,4
659,27,0.2,Medium,0.65,491,4
660,41,0.54,Poor,0.86,562,3
661,37,0.41,Poor,0.83,566,3
662,36,0.39,Poor,0.8,524,3
663,15,0.05,Good,0.47,486,5
664,40,0.52,Poor,0.86,138,3
665,47,0.74,Poor,0.9,264,2
666,15,0.05,Good,0.47,217,5
667,51,0.94,Poor,0.93,539,1
668,28,0.22,Poor,0.71,628,3
669,49,0.83,Poor,0.98,152,2
670,33,0.34,Poor,0.75,637,3
671,18,0.07,Medium,0.54,125,4
672,23,0.14,Medium,0.62,102,4
673,43,0.63,Poor,0.87,440,2
674,51,0.91,Poor,0.96,275,1
675,39,0.46,Poor,0.83,165,3
676,22,0.12,Medium,0.55,169,4
677,30,0.25,Poor,0.67,378,3
678,32,0.29,Poor,0.73,477,3
679,33,0.31,Poor,0.72,570,3
680,47,0.74,Poor,0.95,202,2
681,17,0.07,Medium,0.51,521,4
682,38,0.45,Poor,0.85,271,3
683,40,0.52,Poor,0.81,144,2
684,36,0.41,Poor,0.82,211,3
685,43,0.58,Poor,0.87,492,2
686,45,0.65,Poor,0.86,632,2
687,16,0.06,Good,0.45,189,5
688,16,0.05,Good,0.47,580,5
689,26,0.19,Medium,0.65,135,4
690,19,0.08,Medium,0.51,639,4
691,52,0.97,Poor,0.95,217,1
692,44,0.64,Poor,0.89,587,2
693,42,0.56,Poor,0.85,608,2
694,37,0.44,Poor,0.82,386,3
695,52,0.98,Poor,1,303,1
696,48,0.8,Poor,0.92,645,2
697,15,0.05,Good,0.47,314,5
698,36,0.41,Poor,0.74,301,3
699,16,0.06,Good,0.47,579,5
700,16,0.06,Good,0.45,519,5
701,38,0.48,Poor,0.79,165,3
702,51,0.91,Poor,0.95,460,1
703,34,0.34,Poor,0.76,339,3
704,35,0.35,Poor,0.79,348,3
705,17,0.07,Good,0.47,341,5
706,52,1,Poor,0.98,505,1
707,36,0.41,Poor,0.79,198,3
708,36,0.39,Poor,0.82,486,3
709,51,0.95,Poor,0.98,460,1
710,21,0.11,Medium,0.58,409,4
711,17,0.07,Good,0.5,276,5
712,38,0.44,Poor,0.82,495,3
713,29,0.25,Poor,0.73,223,3
714,24,0.15,Medium,0.6,629,4
715,51,0.88,Poor,0.92,449,1
716,23,0.14,Medium,0.63,143,4
717,39,0.49,Poor,0.87,193,3
718,43,0.58,Poor,0.86,272,2
719,43,0.58,Poor,0.89,628,2
720,19,0.08,Medium,0.54,621,4
721,52,0.98,Poor,0.98,459,1
722,31,0.27,Poor,0.72,372,3
723,25,0.17,Medium,0.6,645,4
724,15,0.05,Good,0.47,527,5
725,16,0.06,Good,0.45,81,5
726,16,0.06,Good,0.49,519,5
727,15,0.05,Good,0.45,64,5
728,27,0.21,Medium,0.7,333,4
729,49,0.84,Poor,0.93,366,2
730,28,0.21,Poor,0.66,144,3
731,36,0.41,Poor,0.83,187,3
732,27,0.2,Medium,0.65,337,4
733,40,0.52,Poor,0.84,205,2
734,51,0.95,Poor,0.98,500,1
735,50,0.88,Poor,0.96,573,1
736,44,0.66,Poor,0.89,118,2
737,36,0.38,Poor,0.78,459,3
738,34,0.35,Poor,0.79,247,3
739,15,0.05,Good,0.46,547,5
740,25,0.17,Medium,0.64,101,4
741,50,0.92,Poor,0.95,216,1
742,44,0.66,Poor,0.91,465,2
743,34,0.35,Poor,0.77,424,3
744,17,0.06,Good,0.49,304,5
745,45,0.69,Poor,0.93,575,2
746,26,0.19,Medium,0.68,307,4
747,17,0.07,Good,0.51,410,5
748,46,0.75,Poor,0.9,253,2
749,38,0.43,Poor,0.79,558,3
750,17,0.06,Good,0.52,447,5
751,36,0.38,Poor,0.82,533,3
752,35,0.36,Poor,0.79,402,3
753,48,0.76,Poor,0.98,123,2
754,36,0.4,Poor,0.83,560,3
755,50,0.88,Poor,0.99,500,1
756,20,0.1,Medium,0.55,195,4
757,24,0.16,Medium,0.65,178,4
758,51,0.91,Poor,1,579,1
759,37,0.44,Poor,0.78,291,3
760,15,0.05,Good,0.44,244,5
761,42,0.59,Poor,0.88,642,2
762,29,0.25,Medium,0.69,240,4
763,16,0.05,Good,0.5,162,5
764,30,0.26,Medium,0.7,280,4
765,52,0.96,Poor,0.93,492,1
766,37,0.42,Poor,0.79,214,3
767,28,0.23,Poor,0.67,107,3
768,15,0.05,Good,0.45,468,5
769,18,0.07,Good,0.54,325,5
770,50,0.86,Poor,0.92,154,2
771,35,0.38,Poor,0.77,162,3
772,16,0.05,Good,0.46,161,5
773,22,0.12,Medium,0.56,574,4
774,37,0.43,Poor,0.76,372,3
775,25,0.16,Medium,0.63,640,4
776,30,0.27,Poor,0.69,504,3
777,45,0.65,Poor,0.93,608,2
778,28,0.22,Poor,0.67,572,3
779,27,0.2,Medium,0.65,277,4
780,52,0.95,Poor,0.92,205,1
781,15,0.05,Good,0.46,112,5
782,39,0.47,Poor,0.87,368,3
783,27,0.2,Medium,0.68,428,4
784,15,0.05,Good,0.43,590,5
785,27,0.19,Poor,0.62,553,3
786,22,0.13,Medium,0.6,530,4
787,26,0.17,Medium,0.61,349,4
788,26,0.18,Medium,0.64,387,4
789,43,0.62,Poor,0.88,349,2
790,48,0.81,Poor,0.95,207,2
791,25,0.16,Medium,0.63,525,4
792,51,0.92,Poor,0.97,430,1
793,46,0.72,Poor,0.92,426,2
794,42,0.6,Poor,0.9,128,2
795,25,0.17,Medium,0.65,60,4
796,44,0.67,Poor,0.9,120,2
797,30,0.27,Poor,0.67,418,3
798,45,0.68,Poor,0.93,386,2
799,29,0.23,Poor,0.67,65,3
800,51,0.9,Poor,0.96,390,1
801,46,0.73,Poor,0.89,247,2
802,51,0.96,Poor,0.98,70,1
803,17,0.07,Good,0.48,90,5
804,42,0.56,Poor,0.89,422,2
805,35,0.37,Poor,0.8,562,3
806,50,0.88,Poor,0.97,150,1
807,18,0.08,Medium,0.52,369,4
808,32,0.3,Poor,0.71,311,3
809,15,0.05,Good,0.49,373,5
810,34,0.34,Poor,0.77,448,3
811,31,0.28,Poor,0.7,267,3
812,26,0.18,Medium,0.61,387,4
813,21,0.11,Medium,0.59,83,4
814,16,0.06,Good,0.49,155,5
815,51,0.94,Poor,1,354,1
816,15,0.05,Good,0.49,84,5
817,27,0.21,Medium,0.63,64,4
818,39,0.48,Poor,0.82,550,3
819,37,0.44,Poor,0.82,366,3
820,50,0.88,Poor,0.91,380,1
821,36,0.41,Poor,0.79,542,3
822,51,0.9,Poor,0.98,300,1
823,31,0.26,Poor,0.7,303,3
824,51,0.93,Poor,0.97,213,1
825,29,0.23,Poor,0.66,168,3
826,15,0.05,Good,0.46,491,5
827,44,0.61,Poor,0.87,471,2
828,35,0.36,Poor,0.76,270,3
829,31,0.27,Poor,0.76,533,3
830,50,0.89,Poor,0.97,438,1
831,40,0.49,Poor,0.81,437,3
832,16,0.05,Good,0.5,540,5
833,23,0.13,Medium,0.62,165,4
834,43,0.59,Poor,0.89,150,2
835,37,0.44,Poor,0.84,197,3
836,39,0.48,Poor,0.87,104,3
837,15,0.05,Good,0.46,537,5
838,19,0.09,Medium,0.54,146,4
839,18,0.07,Good,0.52,383,5
840,38,0.46,Poor,0.8,627,3
841,15,0.05,Good,0.46,534,5
842,52,0.96,Poor,0.97,140,1
843,29,0.24,Poor,0.72,250,3
844,38,0.43,Poor,0.8,72,3
845,31,0.28,Poor,0.75,510,3
846,50,0.88,Poor,0.93,356,1
847,20,0.1,Medium,0.53,381,4
848,17,0.07,Good,0.52,190,5
849,30,0.26,Poor,0.66,442,3
850,29,0.23,Poor,0.72,449,3
851,20,0.1,Medium,0.58,400,4
852,43,0.63,Poor,0.83,438,2
853,41,0.52,Poor,0.87,137,2
854,16,0.06,Good,0.48,170,5
855,17,0.06,Good,0.47,339,5
856,26,0.19,Medium,0.62,444,4
857,52,0.98,Poor,0.92,394,1
858,15,0.05,Good,0.49,236,5
859,27,0.2,Poor,0.63,451,3
860,18,0.08,Medium,0.5,361,4
861,42,0.58,Poor,0.81,233,2
862,31,0.29,Poor,0.74,604,3
863,18,0.08,Medium,0.55,144,4
864,23,0.14,Medium,0.62,522,4
865,19,0.08,Medium,0.52,599,4
866,16,0.06,Medium,0.47,645,4
867,16,0.05,Good,0.45,333,5
868,50,0.91,Poor,0.92,102,1
869,30,0.25,Poor,0.74,324,3
870,49,0.84,Poor,0.95,315,2
871,30,0.24,Poor,0.74,474,3
872,39,0.46,Poor,0.84,392,3
873,17,0.06,Good,0.47,60,5
874,25,0.17,Medium,0.6,523,4
875,30,0.27,Poor,0.72,161,3
876,34,0.34,Poor,0.77,457,3
877,32,0.3,Poor,0.74,135,3
878,16,0.06,Good,0.45,81,5
879,36,0.42,Poor,0.79,137,3
880,17,0.06,Good,0.53,283,5
881,17,0.06,Good,0.5,459,5
882,15,0.05,Good,0.47,526,5
883,37,0.4,Poor,0.81,273,3
884,49,0.86,Poor,0.94,398,2
885,18,0.08,Medium,0.48,83,4
886,16,0.06,Good,0.51,210,5
887,15,0.05,Good,0.46,145,5
888,15,0.05,Good,0.47,365,5
889,16,0.06,Good,0.51,548,5
890,26,0.18,Medium,0.68,336,4
891,27,0.2,Medium,0.69,177,4
892,20,0.1,Medium,0.58,350,4
893,51,0.89,Poor,0.97,491,1
894,22,0.12,Medium,0.57,458,4
895,39,0.48,Poor,0.86,422,3
896,34,0.35,Poor,0.77,294,3
897,27,0.21,Medium,0.7,215,4
898,50,0.89,Poor,1,433,1
899,32,0.31,Poor,0.69,353,3
900,47,0.72,Poor,0.96,254,2
901,41,0.54,Poor,0.88,451,2
902,18,0.08,Medium,0.52,534,4
903,28,0.21,Poor,0.71,102,3
904,32,0.31,Poor,0.76,327,3
905,29,0.24,Poor,0.69,261,3
906,51,0.93,Poor,1,422,1
907,18,0.08,Medium,0.49,451,4
908,51,0.95,Poor,0.94,614,1
909,40,0.53,Poor,0.87,196,3
910,48,0.75,Poor,0.95,169,2
911,16,0.06,Good,0.46,246,5
912,31,0.27,Poor,0.67,266,3
913,50,0.89,Poor,0.94,106,1
914,50,0.88,Poor,0.92,302,1
915,27,0.21,Poor,0.63,295,3
916,16,0.06,Good,0.45,117,5
917,51,0.87,Poor,0.98,530,2
918,23,0.13,Medium,0.57,470,4
919,15,0.05,Good,0.47,341,5
920,17,0.07,Good,0.47,317,5
921,46,0.75,Poor,0.91,297,2
922,18,0.08,Good,0.53,587,5
923,15,0.05,Good,0.46,349,5
924,48,0.75,Poor,0.89,124,2
925,21,0.11,Medium,0.58,414,4
926,26,0.19,Medium,0.68,107,4
927,15,0.05,Good,0.48,350,5
928,34,0.36,Poor,0.75,362,3
929,17,0.07,Good,0.51,524,5
930,24,0.16,Medium,0.58,152,4
931,26,0.18,Medium,0.63,90,4
932,21,0.11,Medium,0.58,261,4
933,49,0.88,Poor,0.93,625,1
934,15,0.05,Good,0.46,584,5
935,51,0.93,Poor,0.98,340,1
936,15,0.05,Good,0.47,233,5
937,32,0.29,Poor,0.76,363,3
938,51,0.9,Poor,0.93,344,1
939,37,0.44,Poor,0.77,645,3
940,52,1,Poor,0.92,338,1
941,50,0.86,Poor,0.94,289,2
942,27,0.21,Poor,0.7,319,3
943,42,0.57,Poor,0.9,217,2
944,23,0.13,Medium,0.62,583,4
945,50,0.88,Poor,1,99,1
946,25,0.17,Medium,0.62,244,4
947,35,0.38,Poor,0.76,161,3
948,49,0.84,Poor,0.92,375,2
949,38,0.48,Poor,0.8,236,3
950,36,0.4,Poor,0.82,305,3
951,29,0.24,Poor,0.68,636,3
952,35,0.38,Poor,0.77,475,3
953,44,0.64,Poor,0.85,330,2
954,39,0.46,Poor,0.81,127,2
955,29,0.24,Poor,0.65,382,3
956,52,0.91,Poor,0.98,461,1
957,48,0.83,Poor,0.91,81,2
958,33,0.34,Poor,0.75,102,3
959,51,0.95,Poor,0.94,304,1
960,17,0.06,Good,0.52,375,5
961,47,0.73,Poor,0.95,117,2
962,15,0.05,Good,0.47,374,5
963,31,0.29,Poor,0.75,200,3
964,23,0.13,Medium,0.63,590,4
965,15,0.05,Good,0.47,579,5
966,52,0.95,Poor,0.93,61,1
967,51,0.9,Poor,0.99,595,1
968,52,0.99,Poor,0.94,434,1
969,15,0.05,Good,0.44,287,5
970,16,0.05,Good,0.46,117,5
971,15,0.05,Good,0.44,554,5
972,26,0.19,Medium,0.68,592,4
973,15,0.05,Good,0.46,526,5
974,51,0.94,Poor,0.95,423,1
975,33,0.34,Poor,0.77,134,3
976,40,0.53,Poor,0.85,439,3
977,51,0.91,Poor,0.99,203,1
978,49,0.82,Poor,0.91,540,2
979,33,0.31,Poor,0.72,236,3
980,20,0.09,Medium,0.57,274,4
981,51,0.95,Poor,0.98,415,1
982,31,0.29,Poor,0.68,483,3
983,51,0.93,Poor,0.93,641,1
984,45,0.67,Poor,0.9,79,2
985,40,0.52,Poor,0.85,245,2
986,37,0.41,Poor,0.78,260,3
987,45,0.67,Poor,0.94,485,2
988,15,0.05,Good,0.43,162,5
989,19,0.09,Medium,0.51,363,4
990,39,0.49,Poor,0.81,626,2
991,28,0.22,Medium,0.69,380,4
992,36,0.38,Poor,0.77,468,3
993,52,0.96,Poor,0.99,641,1
994,49,0.88,Poor,0.94,634,1
995,51,0.94,Poor,0.93,269,1
996,32,0.3,Poor,0.72,360,3
997,30,0.26,Poor,0.7,414,3
998,41,0.52,Poor,0.81,106,2
999,32,0.31,Poor,0.77,185,3
1000,19,0.09,Medium,0.55,199,4
1001,52,0.91,Poor,0.96,282,1
1002,32,0.31,Poor,0.69,252,3
1003,28,0.22,Poor,0.7,426,3
1004,51,0.94,Poor,0.95,134,1
1005,18,0.07,Medium,0.51,98,4
1006,51,0.92,Poor,0.95,139,1
1007,42,0.59,Poor,0.85,200,2
1008,51,0.93,Poor,1,496,1
1009,16,0.06,Good,0.49,301,5
1010,29,0.25,Poor,0.69,325,3
1011,45,0.69,Poor,0.9,609,2
1012,38,0.47,Poor,0.84,536,2
1013,43,0.62,Poor,0.91,296,2
1014,43,0.6,Poor,0.87,76,2
1015,20,0.09,Medium,0.55,581,4
1016,31,0.29,Poor,0.71,158,3
1017,16,0.06,Medium,0.47,253,4
1018,28,0.21,Poor,0.71,408,3
1019,31,0.28,Poor,0.7,149,3
1020,21,0.11,Medium,0.56,557,4
1021,18,0.07,Medium,0.53,516,4
1022,16,0.06,Good,0.48,455,5
1023,16,0.06,Good,0.46,609,5
1024,15,0.05,Good,0.48,537,5
1025,51,0.89,Poor,0.95,77,1
1026,29,0.22,Poor,0.66,265,3
1027,50,0.88,Poor,0.99,460,1
1028,50,0.92,Poor,1,409,1
1029,52,0.99,Poor,0.93,630,1
1030,15,0.05,Good,0.48,180,5
1031,31,0.29,Poor,0.69,377,3
1032,39,0.46,Poor,0.85,87,3
1033,45,0.67,Poor,0.9,538,2
1034,30,0.25,Poor,0.67,381,3
1035,51,0.9,Poor,1,319,1
1036,30,0.27,Poor,0.7,514,3
1037,46,0.69,Poor,0.97,512,2
1038,17,0.07,Good,0.53,246,5
1039,17,0.06,Good,0.48,615,5
1040,21,0.11,Medium,0.56,139,4
1041,51,0.88,Poor,1,89,1
1042,17,0.06,Good,0.51,525,5
1043,28,0.22,Medium,0.68,245,4
1044,51,0.94,Poor,0.99,424,1
1045,33,0.33,Poor,0.77,503,3
1046,41,0.52,Poor,0.86,393,2
1047,43,0.6,Poor,0.89,457,2
1048,52,1,Poor,0.96,543,1
1049,36,0.39,Poor,0.79,505,3
1050,41,0.54,Poor,0.87,470,3
1051,52,0.95,Poor,0.97,228,1
1052,27,0.19,Medium,0.69,428,4
1053,20,0.09,Medium,0.53,466,4
1054,21,0.11,Medium,0.55,628,4
1055,51,0.96,Poor,0.92,346,1
1056,20,0.1,Medium,0.55,350,4
1057,19,0.09,Medium,0.52,604,4
1058,19,0.09,Medium,0.53,646,4
1059,23,0.13,Medium,0.6,406,4
1060,34,0.35,Poor,0.76,333,3
1061,52,0.95,Poor,1,514,1
1062,43,0.63,Poor,0.87,607,2
1063,20,0.1,Medium,0.52,422,4
1064,23,0.13,Medium,0.6,427,4
1065,16,0.05,Good,0.46,569,5
1066,28,0.22,Poor,0.64,535,3
1067,15,0.05,Good,0.44,124,5
1068,21,0.1,Medium,0.57,341,4
1069,16,0.06,Good,0.48,82,5
1070,36,0.39,Poor,0.78,322,3
1071,15,0.05,Good,0.48,333,5
1072,26,0.18,Medium,0.62,254,4
1073,32,0.29,Poor,0.77,174,3
1074,17,0.07,Medium,0.48,275,4
1075,34,0.35,Poor,0.77,229,3
1076,24,0.15,Medium,0.65,463,4
1077,19,0.08,Medium,0.56,324,4
1078,18,0.08,Medium,0.51,539,4
1079,31,0.29,Poor,0.68,541,3
1080,31,0.29,Poor,0.74,274,3
1081,41,0.53,Poor,0.81,211,2
1082,15,0.05,Good,0.45,197,5
1083,49,0.84,Poor,0.91,501,2
1084,45,0.71,Poor,0.85,86,2
1085,47,0.79,Poor,0.98,280,2
1086,20,0.09,Medium,0.56,532,4
1087,34,0.35,Poor,0.75,218,3
1088,18,0.07,Medium,0.48,486,4
1089,52,0.97,Poor,0.93,263,1
1090,33,0.32,Poor,0.73,258,3
1091,45,0.66,Poor,0.85,549,2
1092,40,0.51,Poor,0.86,628,3
1093,51,0.91,Poor,0.97,417,1
1094,51,0.96,Poor,0.99,583,1
1095,29,0.25,Poor,0.72,192,3
1096,38,0.47,Poor,0.8,276,3
1097,20,0.09,Medium,0.53,548,4
1098,46,0.71,Poor,0.89,647,2
1099,51,0.88,Poor,0.97,384,1
1100,25,0.17,Medium,0.63,221,4
1101,15,0.05,Good,0.46,580,5
1102,23,0.14,Medium,0.57,160,4
1103,20,0.1,Medium,0.56,217,4
1104,30,0.25,Poor,0.73,395,3
1105,23,0.13,Medium,0.62,130,4
1106,39,0.48,Poor,0.78,650,3
1107,22,0.13,Medium,0.55,409,4
1108,45,0.68,Poor,0.89,525,2
1109,29,0.22,Poor,0.69,72,3
1110,28,0.22,Poor,0.71,620,3
1111,40,0.51,Poor,0.83,402,2
1112,35,0.38,Poor,0.79,631,3
1113,49,0.83,Poor,0.97,187,2
1114,29,0.24,Poor,0.72,218,3
1115,19,0.08,Medium,0.52,89,4
1116,28,0.22,Medium,0.65,353,4
1117,37,0.44,Poor,0.75,362,3
1118,16,0.06,Good,0.48,612,5
1119,38,0.43,Poor,0.84,336,2
1120,45,0.66,Poor,0.92,586,2
1121,18,0.07,Medium,0.52,327,4
1122,30,0.27,Poor,0.69,128,3
1123,15,0.05,Good,0.48,461,5
1124,52,0.98,Poor,0.98,87,1
1125,23,0.13,Medium,0.62,284,4
1126,46,0.68,Poor,0.94,395,2
1127,20,0.09,Medium,0.54,446,4
1128,15,0.05,Good,0.49,254,5
1129,15,0.05,Good,0.45,391,5
1130,44,0.67,Poor,0.85,491,2
1131,51,0.93,Poor,0.94,180,1
1132,15,0.05,Good,0.44,275,5
1133,35,0.38,Poor,0.79,580,3
1134,52,1,Poor,0.99,248,1
1135,20,0.1,Medium,0.55,290,4
1136,25,0.16,Medium,0.59,418,4
1137,15,0.05,Good,0.47,205,5
1138,39,0.5,Poor,0.84,455,3
1139,50,0.88,Poor,0.9,124,1
1140,15,0.05,Good,0.45,578,5
1141,37,0.41,Poor,0.75,301,3
1142,17,0.06,Good,0.53,147,5
1143,18,0.08,Medium,0.49,127,4
1144,38,0.45,Poor,0.82,488,3
1145,44,0.65,Poor,0.87,108,2
1146,28,0.21,Poor,0.67,479,3
1147,19,0.08,Medium,0.52,176,4
1148,16,0.06,Good,0.49,243,5
1149,39,0.5,Poor,0.8,390,2
1150,43,0.63,Poor,0.87,615,2
1151,51,0.95,Poor,0.97,119,1
1152,20,0.1,Medium,0.54,220,4
1153,27,0.21,Poor,0.63,102,3
1154,15,0.05,Good,0.46,407,5
1155,52,0.99,Poor,0.98,347,1
1156,51,0.91,Poor,0.97,604,1
1157,24,0.15,Medium,0.64,534,4
1158,51,0.88,Poor,0.92,635,1
1159,20,0.1,Medium,0.58,180,4
1160,19,0.08,Medium,0.53,254,4
1161,19,0.09,Medium,0.51,118,4
1162,15,0.05,Good,0.48,234,5
1163,41,0.53,Poor,0.83,89,3
1164,46,0.74,Poor,0.94,81,2
1165,28,0.22,Medium,0.69,336,4
1166,21,0.11,Medium,0.59,455,4
1167,17,0.06,Good,0.49,206,5
1168,28,0.21,Medium,0.65,535,4
1169,50,0.92,Poor,0.94,259,1
1170,46,0.69,Poor,0.9,430,2
1171,16,0.06,Good,0.45,534,5
1172,16,0.06,Good,0.45,500,5
1173,50,0.84,Poor,0.98,379,2
1174,30,0.25,Medium,0.71,392,4
1175,23,0.14,Medium,0.63,149,4
1176,49,0.83,Poor,0.95,393,2
1177,30,0.24,Poor,0.71,480,3
1178,22,0.13,Medium,0.56,220,4
1179,19,0.09,Medium,0.52,620,4
1180,30,0.27,Poor,0.68,458,3
1181,32,0.31,Poor,0.69,639,3
1182,15,0.05,Good,0.49,309,5
1183,44,0.67,Poor,0.92,596,2
1184,27,0.2,Medium,0.64,537,4
1185,18,0.08,Good,0.53,375,5
1186,43,0.58,Poor,0.91,573,2
1187,39,0.51,Poor,0.86,261,3
1188,51,0.91,Poor,1,579,1
1189,44,0.65,Poor,0.91,455,2
1190,36,0.4,Poor,0.79,360,3
1191,22,0.13,Medium,0.59,470,4
1192,37,0.44,Poor,0.82,431,3
1193,47,0.72,Poor,0.97,527,2
1194,50,0.91,Poor,0.98,136,1
1195,37,0.4,Poor,0.76,621,3
1196,28,0.23,Poor,0.66,552,3
1197,16,0.06,Good,0.5,283,5
1198,42,0.56,Poor,0.86,628,2
1199,27,0.21,Medium,0.64,421,4
1200,34,0.36,Poor,0.77,164,3
1201,17,0.07,Good,0.47,393,5
1202,25,0.17,Medium,0.65,115,4
1203,20,0.1,Medium,0.54,518,4
1204,47,0.75,Poor,0.97,284,2
1205,52,0.98,Poor,1,630,1
1206,50,0.88,Poor,0.96,374,1
1207,50,0.89,Poor,0.98,395,1
1208,33,0.31,Poor,0.74,165,3
1209,39,0.48,Poor,0.87,623,2
1210,47,0.74,Poor,0.91,124,2
1211,15,0.05,Good,0.45,96,5
1212,20,0.1,Medium,0.52,358,4
1213,51,0.9,Poor,0.95,181,1
1214,27,0.21,Medium,0.63,540,4
1215,46,0.68,Poor,0.91,411,2
1216,22,0.12,Medium,0.56,367,4
1217,22,0.12,Medium,0.59,519,4
1218,30,0.27,Poor,0.66,325,3
1219,52,0.95,Poor,0.96,338,1
1220,16,0.06,Good,0.46,131,5
1221,48,0.83,Poor,0.9,135,2
1222,21,0.1,Medium,0.58,265,4
1223,51,0.95,Poor,0.95,174,1
1224,45,0.71,Poor,0.87,103,2
1225,30,0.26,Poor,0.66,648,3
1226,29,0.22,Poor,0.65,483,3
1227,28,0.21,Medium,0.67,276,4
1228,24,0.16,Medium,0.64,291,4
1229,31,0.27,Poor,0.7,378,3
1230,39,0.5,Poor,0.84,113,2
1231,36,0.4,Poor,0.82,222,3
1232,15,0.05,Good,0.47,634,5
1233,44,0.61,Poor,0.87,568,2
1234,52,0.92,Poor,1,561,1
1235,18,0.08,Medium,0.5,316,4
1236,29,0.22,Medium,0.68,587,4
1237,52,0.99,Poor,0.96,210,1
1238,36,0.39,Poor,0.79,210,3
1239,20,0.09,Medium,0.54,231,4
1240,31,0.28,Poor,0.76,303,3
1241,47,0.74,Poor,0.93,365,2
1242,15,0.05,Good,0.48,272,5
1243,33,0.34,Poor,0.77,63,3
1244,50,0.91,Poor,0.93,621,1
1245,35,0.36,Poor,0.82,507,3
1246,51,0.91,Poor,0.99,623,1
1247,23,0.14,Medium,0.58,156,4
1248,36,0.39,Poor,0.82,181,3
1249,30,0.25,Poor,0.73,231,3
1250,19,0.08,Medium,0.53,160,4
1251,18,0.08,Medium,0.5,541,4
1252,48,0.83,Poor,0.95,162,2
1253,32,0.31,Poor,0.75,338,3
1254,44,0.68,Poor,0.89,106,2
1255,16,0.06,Good,0.48,273,5
1256,24,0.15,Medium,0.63,475,4
1257,36,0.41,Poor,0.75,304,3
1258,15,0.05,Good,0.47,372,5
1259,45,0.69,Poor,0.94,219,2
1260,30,0.25,Poor,0.72,328,3
1261,33,0.32,Poor,0.78,524,3
1262,19,0.08,Medium,0.53,500,4
1263,51,0.96,Poor,0.96,595,1
1264,16,0.06,Good,0.46,237,5
1265,36,0.41,Poor,0.78,243,3
1266,22,0.13,Medium,0.56,190,4
